Astrologically Significant Fixed Stars — Ecliptic Longitudes

Star                    2024 (Tropical)     2030 (Tropical)     2050 (Tropical)     Designation
Achernar                15°39' Pisces       15°45' Pisces       16°02' Pisces       Alpha Eridani
Markab                  23°49' Pisces       23°55' Pisces       24°11' Pisces       Alpha Pegasi
Scheat                  29°42' Pisces       29°48' Pisces       00°05' Aries        Beta Pegasi

* = Royal Star (Watchers of the sky)

2024 source: https://orphicastrology.com/fixedstars/behenian (Behenian 15)
2030/2050 positions: computed via skyfield (Hipparcos + DE421), see precess-stars.py
Manzil indicator stars from al-Biruni via Shuly Rose.
Xiù determinative stars from astrologyking.com/chinese-lunar-mansions.
Praesepe position uses Epsilon Cancri (Meleph), brightest member of the M44 cluster.
